author_id,proc_id
a_100602,982792
a_100602,1109557
a_100632,1993806
a_100769,191666
a_100769,223904
a_100820,54852
a_100820,1186562
a_100820,1661412
a_100820,1833349
a_101081,1806689
a_101081,2095116
a_101460,1111037
a_101460,1375581
a_101547,15922
a_101547,37401
a_101547,54852
a_101547,325334
a_101547,800031
a_101547,800064
a_101598,581339
a_102219,139669
a_102219,325164
a_102365,1555754
a_102365,1669112
a_102365,1815961
a_103235,958491
a_103293,1081706
a_103293,1250734
a_103293,1368088
a_103293,1449764
a_103293,1542476
a_103293,2001420
a_103373,139669
a_105697,1555754
a_105697,1669112
a_105697,1815961
a_105721,774572
a_106740,312624
a_106740,1148170
a_106740,1242572
a_106763,1273496
a_106763,1401890
a_106763,1835804
a_107363,1837274
a_107363,1870926
a_107363,2039370
a_107383,233269
a_107383,276304
a_107391,280814
a_107391,566570
a_107391,1186562
a_107391,1275808
a_107391,1576246
a_107391,1661412
a_107425,277650
a_107429,1179352
a_107429,1186562
a_107429,1186822
a_107429,1457515
a_107429,1576246
a_107506,1186562
a_107506,1186822
a_107547,1129601
a_109517,309847
a_110282,1854273
a_110282,2063384
a_110369,1399504
a_110533,15922
a_110533,37401
a_110533,54852
a_110533,325334
a_110533,800031
a_110533,800064
a_110571,588058
a_110593,224056
a_110594,800087
a_111166,133994
a_111166,237170
a_111166,311535
a_111166,383259
a_111331,22627
a_111331,108844
a_111514,28697
a_112097,1168987
a_112184,365024
a_112383,309847
a_11318,1557019
a_113663,1277741
a_11376,28697
a_11376,38765
a_114203,2047196
a_114203,2207676
a_114299,956417
a_114684,1526709
a_115088,344779
a_115104,383259
a_115104,1201775
a_115161,280756
a_115505,309847
a_115505,332357
a_115505,339492
a_115896,1069807
a_116789,988672
a_117212,1753326
a_117253,5600
a_117253,31820
a_117253,65293
a_117253,323287
a_117266,122974
a_117266,168466
a_117266,217279
a_117718,378239
a_11855,2063384
a_118652,1367497
a_119137,2342356
a_119500,309847
a_119500,602902
a_119567,1277741
a_121510,1837274
a_121510,1870926
a_121510,2039370
a_121796,22415
a_121796,800058
a_123420,325334
a_123420,800031
a_123755,325164
a_124589,266800
a_124589,520793
a_125349,383952
a_125643,266989
a_125961,258549
a_125961,1168987
a_12599,1168857
a_126426,951710
a_126426,1254766
a_126676,1390334
a_127069,248052
a_127069,301308
a_127326,611892
a_127683,545215
a_127683,956417
a_127841,1168987
a_127853,1133981
a_127853,1168857
a_127853,1250662
a_128098,566570
a_128098,1186562
a_128098,1576246
a_128305,647987
a_128355,243846
a_128355,266800
a_128980,280814
a_128980,566570
a_128980,1186562
a_128980,1275808
a_128980,1576246
a_128980,1661412
a_129482,325164
a_130358,566570
a_130358,1179352
a_130358,1275808
a_130481,1508128
a_130613,223982
a_130613,1640089
a_130613,1736020
a_130651,236452
a_130660,1566374
a_130660,1993574
a_130660,2095116
a_13070,1399504
a_130712,1179352
a_130747,1884643
a_130747,2254756
a_130979,223982
a_131057,1102351
a_131057,1148170
a_131057,1183614
a_131979,258549
a_132215,223982
a_132455,2382196
a_132455,2488608
a_132902,1040305
a_132902,1882291
a_132929,337180
a_132954,337180
a_133255,1242572
a_133298,224056
a_133386,263407
a_133518,28659
a_133697,1516360
a_133739,566570
a_133739,1275808
a_133739,1399504
a_133739,1576246
a_133739,1661412
a_13437,1878961
a_134519,28697
a_134519,74877
a_134819,2531602
a_134819,2556420
a_13498,375663
a_134983,370049
a_135574,1460563
a_135769,846276
a_135769,1186822
a_135769,1201775
a_135769,1399504
a_13596,243199
a_13596,263690
a_13596,290941
a_13596,383952
a_136325,1242572
a_136325,1367497
a_136407,1048935
a_136438,218380
a_136438,1186562
a_136491,1084834
a_136491,2133429
a_136514,1076034
a_136514,1390334
a_136620,337292
a_136620,602902
a_136903,957013
a_137036,956750
a_137269,545381
a_137313,1014052
a_137376,1553374
a_137376,1835804
a_137893,52324
a_138120,1376616
a_138120,1557019
a_138120,1559845
a_138120,1807167
a_138120,1835804
a_138163,383952
a_13842,958491
a_138547,1014052
a_138886,1367497
a_138886,1526709
a_138886,1631272
a_139959,1866307
a_140117,985692
a_140454,234828
a_140454,274644
a_140454,276627
a_140805,266800
a_140910,55364
a_141715,191995
a_141900,139669
a_141900,223982
a_142473,800126
a_142486,383259
a_142486,1201775
a_142502,1048924
a_142515,637201
a_142531,582153
a_142531,800230
a_142606,237170
a_142606,258734
a_142606,311535
a_142606,344779
a_142719,2382196
a_142807,502512
a_143377,103418
a_143404,223904
a_143557,223982
a_143557,243846
a_143557,266800
a_144239,503376
a_144239,1054972
a_144297,1127777
a_144718,218380
a_145332,53990
a_145332,99583
a_14569,380752
a_147363,1168857
a_147704,223904
a_147727,122718
a_147727,147156
a_147727,769953
a_147727,1166253
a_147727,1944745
a_147823,365411
a_147857,1166253
a_147857,2380296
a_148605,1179352
a_148605,1186822
a_148605,1275808
a_14884,96709
a_149452,192844
a_149551,611892
a_15011,258549
a_15011,1090785
a_15011,1168987
a_150303,1124772
a_150885,383952
a_150917,1553374
a_151763,1526709
a_151763,1772690
a_153964,1082473
a_154059,98457
a_154126,1099554
a_154321,1056808
a_154360,234828
a_154360,274644
a_154360,276627
a_154476,214282
a_154533,1134707
a_154603,1347082
a_154603,1536414
a_154721,224081
a_154725,337292
a_155049,1364901
a_155101,378239
a_15535,383082
a_155415,1186562
a_15561,266800
a_15561,313817
a_155628,174675
a_155968,1950365
a_156081,1095810
a_156081,1736020
a_156081,1869459
